,wav_filename,wav_filesize,transcript
11,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_109.wav,224042,time to update will be may next year but certainly on on the engine wafer and further
12,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_11.wav,224042,we start the call with opening remarks from mister robbie saying post which we move to q and a thank you and over to you sir
13,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_110.wav,224042,i will provide that update in the second half with the second half results the other element of it which is which you
14,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_111.wav,224042,refer to being the electrolisers there yes we we all the agreements in relation to the three technologies are in place
15,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_112.wav,224042,and we will be and and and the and the we expect the
16,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_113.wav,224042,sometimes we towards the end of the the the this quarter or early the third quarter to start
17,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_114.wav,224042,development and construction work on that so to have our own integrated facility of for electroliser manufacture
18,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_115.wav,224042,then the land for this for the solar wind plants have been
19,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_116.wav,224042,identified and site work site evaluation site work jio tech and all all of that is going on
20,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_117.wav,224042,and we've been in a position to update over the next six to nine months so so from in the ancillary and product system also
21,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_118.wav,224042,the work is underway site evaluation versus you know b methanol b pneumonia
22,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_119.wav,224042,fertilizer green fertilizer everything is on that sense at at at full speed in that
23,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_12.wav,224042,thank you so much
24,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_120.wav,224042,vertical we will provide a comprehensive update to with the with final year result
25,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_121.wav,224042,and a update on the engine wafer and other facilities on the integrated manufacturing in the after the half half yearly
26,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_122.wav,224042,okay sir that that would be point so on the data center business
27,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_123.wav,224042,just wanted to understand what would be the proportion of overall capacity that has been formed up with
28,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_124.wav,224042,with the orders already and if you look at this this this segment what would be up on
29,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_125.wav,224042,do you consider as our biggest competitive advantage versus appears we we don't specify
30,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_126.wav,224042,look at you know it's like it's sometimes it gets you know i would say i guess too much on what's the what's the competitive advantage
31,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_127.wav,224042,was not india is going be very significant data market and we will have lot more than just one or two
32,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_128.wav,224042,players okay we would like to be one of the leading players and
33,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_129.wav,224042,pool service data center okay and the various aspect called the center edge
34,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_13.wav,224042,i welcome you all to the earnings calls to discuss first quarter financial twenty four results 
35,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_130.wav,224042,data centers etcetera so so in in each aspect we would like to be a significant player so currently we have order
36,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_131.wav,224042,a book other than the operating india operating order book of over hundred and ten megawatts and
37,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_132.wav,224042,of hyper scalers and we expect that to rise dramatically over the next couple of years
38,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_133.wav,224042,we will be well on the way to completing one giga watt by before the end of this decade
39,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_134.wav,224042,understood sir and lastly so what are of capex plans especially for green
40,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_135.wav,224042,hydrogen a post data center segments for the next three years overall there the longer term
41,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_136.wav,224042,capex plan so don't alter for for the asset like green hydrogen three million
42,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_137.wav,224042,facility approximately fifty billion dollars as we outlined earlier previously year
43,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_138.wav,224042,so that plan continues afford as it is which will be
44,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_139.wav,224042,which showed so this year we would touch about
45,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_14.wav,224042,as you know aes business portfolio comprises both established and incubating assets spread across
46,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_140.wav,224042,just about between three hundred million to four hundred million and then it rapidly
47,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_141.wav,224042,start sizing from next year and the year after on the airport side we will have about
48,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_142.wav,224042,this year just about one point one billion us dollars all of these just to clarify i we are assuming eighty
49,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_143.wav,224042,rupees to a dollar rate but adjust for that but so about one point one billion us dollar this
50,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_144.wav,224042,be the capex on airport will broadly remain in that range for the next years and then
51,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_145.wav,224042,they would be a decline once we complete the first phase of our development plan in airports
52,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_146.wav,224042,sure sir that's take sir thank you so much thank you
53,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_147.wav,224042,the next question is from the line of nikhil abhiyankar from icici securities please go ahead
54,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_148.wav,224042,thank you sir so thanks for the opportunity and congrats on a good set of numbers so
55,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_149.wav,224042,what the guidance for commercial mining this year and what exactly the the reason
56,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_15.wav,224042,utility transport and direct to consumer can primary industries in services ael includes 
57,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_150.wav,224042,asking the question is what production has fallen like ten percent y y so
58,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_151.wav,224042,can i please over to
59,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_152.wav,224042,so i got the first tell of i'm not getting getting able to get the talk
60,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_153.wav,224042,for voice phone so as for your first question is about the commercial mind we
61,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_154.wav,224042,ugly hopeful of starting the open third in the ruby mine which is
62,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_155.wav,224042,the commercial mine in this financial year we have already got the ec permission we are hopeful to get both
63,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_156.wav,224042,fc fc tail the phase two and as as soon as we get stage two we should be pushing to
64,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_157.wav,224042,with the box cutting mine all other mines be bi john or grand or
65,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_158.wav,224042,gpu it'll take some time because out of seven four are actually underground mine so they'll take some
66,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_159.wav,224042,time to to go for the preparation you have to prepare for sharp incline and then if
67,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_16.wav,224042,adani digital lab and shared services center apex for the sustained long term value
68,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_160.wav,224042,to put machine to take out cores so that will they take time up uptill twenty twety five to twenty twenty six but
69,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_161.wav,224042,in this financial year we are to just start we should start one mine as far as the mine option is concerned
70,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_162.wav,224042,will come only the next case okay and so what is the guidance for this year so what
71,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_163.wav,224042,volume added for for the call mining volume yes sorry
72,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_164.wav,224042,you're talking about the coal binding volume yes sir coal my commercial mining volume yes yes so commercial
73,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_165.wav,224042,mining i don't think we you at me volume this year's in india okay so and
74,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_166.wav,224042,we are also developing tall in mines so what is the how much do we expect per year out
75,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_167.wav,224042,it volumes and when mine the talabira
76,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_168.wav,224042,having the prc of twenty two million per annum for this financial year as per contextual obligation we
77,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_169.wav,224042,are we have to do ten million ton but we on the request of nlc who is our customer
78,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_17.wav,224042,ael has made significant progress in our attractive incubation pipeline this was quarter of financial
79,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_170.wav,224042,we have indicated that all engines will be testing thirteen million term this year one three
80,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_171.wav,224042,thirteen okay sir and so we have you have given the production for car michael mine
81,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_172.wav,224042,so what is the off take over there and also the ebit has been negative so what should we what we
82,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_173.wav,224042,it trend over there so as far as the dc
83,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_174.wav,224042,so whatever we mining we are able to sell it in different countries
84,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_175.wav,224042,that's the strength of adani group we have we have been in this business of ic for last twenty twenty four
85,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_176.wav,224042,years so we have a good setup in many countries and that's how in the first year second year itself we are in position to
86,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_177.wav,224042,see that all the volume which is going out of our mind are getting loaded to the ships so that there we're not seeing
87,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_178.wav,224042,any problem we are being better than what we did last year as you've seen that quarter one
88,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_179.wav,224042,twenty three with the one point three  double in this year by doing two point six 
89,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_18.wav,224042,twenty four is powered by the emergence of green hydrogen business adani new industry limited that now contributes over ten
90,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_19.wav,224042,percent of ebita our performance for the quarter reflects our strong operational momentum on the back of pan
91,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_2.wav,224042,conference call hosted by investor capital services as a reminder all participants
92,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_20.wav,224042,ecosystem and the incubating business performance the consolidated total income was
93,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_21.wav,224042,at twenty five thousand eight hundred and ten crore consolidated ebita increased by forty seven percent year on year to
94,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_22.wav,224042,two thousand eight hundred and ninety six crore  and in line with the increased ebita consolidated pat increased
95,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_23.wav,224042,by forty four percent to six hundred and seventy four crore in our commitment of having
96,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_24.wav,224042,one giga watt of data center platform in india i'm pleased to inform you that adani connects has secured the largest data center project financing
97,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_25.wav,224042,deal in india with two hundred and thirteen million us construction facility
98,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_26.wav,224042,now for update of some of our incubating businesses 
99,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_27.wav,224042,green had an ecosystem during the quarter the integrated manufacturing division received the professional certificate for five point two
100,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_28.wav,224042,megawatt prototype one wind turbine the production of this is expected during this quarter further
101,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_29.wav,224042,during quarter in that wafer facility preliminary work has commenced and we will update at the half year
102,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_3.wav,224042,lines will be in listen only mode and in there be an opportunity for you to questions after presentation
103,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_30.wav,224042,airport portfolio is performing as expected the number
104,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_31.wav,224042,grew twenty seven percent and is now tracking at eighty five million a year with this quarter number being close to twenty one point three million
105,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_32.wav,224042,in the road portfolio construction is in full swing in our ten m and board projects 
106,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_33.wav,224042,out of these three projects have more than fifty percent completed construction and the rest the projects are as scheduled
107,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_34.wav,224042,in the journey of ael our est plus  embedded
108,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_35.wav,224042,to the fundamental plan with the significant amount of capex going into our green hydrogen business and other businesses of similar nature
109,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_36.wav,224042,yeah certain awards that highlight the consistent endeavor and those include
110,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_37.wav,224042,line the green hydrogen ecosystem we won the aegis grand bell in the category
111,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_38.wav,224042,in manufacturing the road transport team won energy conservation award gold category in the road construction
112,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_39.wav,224042,now i'll hand over to my colleague vinay prakash who will take you through the mining services and the iron business highlights vinay over to
113,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_4.wav,224042,should need assistance during the conference call please signal an operator
114,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_40.wav,224042,you thanks for please all i first
115,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_41.wav,224042,adani enterprise person concern it's the pioneer on mb with its mined developer concept in india with an integrated
116,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_42.wav,224042, model that spans the across there would be mined as well as the entire upstream downstream activities
117,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_43.wav,224042,the well service range type from seeking various approvals land accretion inr develpo
118,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_44.wav,224042,ing infrastructure mining verification on site and the transportation to be consumption
119,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_45.wav,224042,point which is tps the company is empty for eight code blocks and two inr blocks
120,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_46.wav,224042,two projects are located in the state of chattisgarh mp and orrisa the company had
121,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_47.wav,224042,with is contract and the country delivered during the quarter what as per the schedule the quarter the revenue 
122,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_48.wav,224042,stood at rupees six hundred and eight crore and ebita at rupees two forty two crore
123,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_49.wav,224042,in terms of the other business integrated resource management business we have continuing to develop business and shared with the diversified
124,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_5.wav,224042,pressing star please note that this conference has been
125,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_50.wav,224042,customer across various end user industries the remain number one player in india and
126,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_51.wav,224042,to maintain leadership position going forward the volume in quarter one f y twenty four is stood at
127,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_52.wav,224042,seventeen point eight million metric ton and ebita for the quarter one has increased to be one thousand crore
128,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_53.wav,224042,account of improved on pm basis coming on commercial mining the company is now having
129,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_54.wav,224042,commercial blocks blocks allocated  in the state of maharastra chattisgarh madhya pradesh jharkhand
130,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_55.wav,224042,and also we already got the completion of eac committee for 
131,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_56.wav,224042,a cold block in micro tech three and there is you have got the listing order for  not
132,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_57.wav,224042,madheri kulanda and gandera ujani code block by moc in june twenty three
133,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_58.wav,224042,thank you we open to q and a
134,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_59.wav,224042,thank you ladies and gentlemen we will now begin with the question and answer session
135,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_6.wav,224042,recorded i now hand the conference over to mister aditya bhartia from invest capital
136,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_60.wav,224042,anyone wishing to ask a question may please press star and one attached telephone
137,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_61.wav,224042,queueif you wish to remove yourself from question queue you may press star and two
138,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_62.wav,224042,participants are requested to use handsets while asksing a question
139,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_63.wav,224042,ladies and gentlemen we will wait for a moment while the question
140,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_64.wav,224042,the first question is from the line of mohit kumar
141,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_65.wav,224042,from icici securities please go ahead yeah good evening sir and thanks for
142,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_66.wav,224042,the opportunity my first question is on the mumbai airport i believe that gmr has got
143,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_67.wav,224042,a favorable order from td sat on the on the existing contract and i
144,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_68.wav,224042,think that this call this particular order should be applicable to  mumbai airport is my understanding right
145,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_69.wav,224042,order generally as a rule from a regulator applies only to the
146,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_7.wav,224042,services thank you and over to you sir thank you listen you
147,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_70.wav,224042,specific order that is sort by the asset owner however from the prescedence point of view you are correct
148,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_71.wav,224042,that in the filing of mile also the similar considerations
149,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_72.wav,224042,will apply this understood but it will take time to to get resolved
150,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_73.wav,224042,yeah what is the time expectation when you think you know this new thing can get reinterpreted and be part
151,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_74.wav,224042,you know our our our higher tariff no that is i think important thing to realize
152,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_75.wav,224042,regulatory we don't want to specifiy the comment on time because there's a lot of these relatively
153,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_76.wav,224042,consideration that the regulators have to do their work but you i will just highlight you
154,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_77.wav,224042,of the regulatory process the time value of money is always accounted for in the regulatory order so if
155,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_78.wav,224042,there's a delay or if they it takes some time to validate that will be captured in the final order so there is no economic value
156,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_79.wav,224042,lost and that is one of the key aspects of the regulatory business understood sir
157,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_8.wav,224042,pleased to host the senior management team of adani enterprises today we have with us mister vined prakash 
158,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_80.wav,224042,second question is that a sa mumbai airport the airport ebita q q
159,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_81.wav,224042,so is this primary on arrow or do have you seen these pending
160,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_82.wav,224042,last in the quarter q q the largely the ebita growth and ebita is driven by the
161,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_83.wav,224042,two aspects one the spending by the passengers and one percentage are there
162,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_84.wav,224042,and secondly the increasing in the actual gross spend rate of each of the percent
163,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_85.wav,224042,and not so two aspects contributing to the growth in ebita
164,C:\Users\deepanshunirvan\Desktop\Deepanshu\DistrictD\DemoData\audio\audio_1696249517_86.wav,224042,okay sir my third question is for car michael is it possible to share the waiver that ebita for the quarter
